joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5341030359268188,0.0,0.0,0.0,0.07844586670398712,0.0,0.0,0.0,0.1371985673904419,0.0,0.1366877257823944,0.0,-0.0008551845094189048,0.0,0.09302473068237305,0.0,0.050415243953466415,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47202783823013306,0.0,0.0,0.0,0.078079953789711,0.0,0.0,0.0,0.1463409811258316,0.0,0.1051071509718895,0.0,0.0003327779413666576,0.0,0.07762113213539124,0.0,0.055456582456827164,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4269663691520691,0.0,0.0,0.0,0.08742603659629822,0.0,0.0,0.0,0.16352710127830505,0.0,0.07379516959190369,0.0,0.0018464347813278437,0.0,0.06174454838037491,0.0,0.06303855031728745,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4010583460330963,0.0,0.0,0.0,0.10486554354429245,0.0,0.0,0.0,0.18708257377147675,0.0,0.039920419454574585,0.0,0.0036116482224315405,0.0,0.04409318417310715,0.0,0.07262402772903442,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39303919672966003,0.0,0.0,0.0,0.1275622844696045,0.0,0.0,0.0,0.214021235704422,0.0,0.0014669183874502778,0.0,0.005528226960450411,0.0,0.023764079436659813,0.0,0.08322098106145859,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40039941668510437,0.0,0.0,0.0,0.15196292102336884,0.0,0.0,0.0,0.24042589962482452,0.0,-0.04029994457960129,0.0,0.007428678218275309,0.0,0.0015328199369832873,0.0,0.09342831373214722,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4207312762737274,0.0,0.0,0.0,0.17468410730361938,0.0,0.0,0.0,0.26221439242362976,0.0,-0.08064397424459457,0.0,0.009094953536987305,0.0,-0.019968876615166664,0.0,0.10168785601854324,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45124825835227966,0.0,0.0,0.0,0.19301268458366394,0.0,0.0,0.0,0.275813490152359,0.0,-0.1136709675192833,0.0,0.010329305194318295,0.0,-0.03743268921971321,0.0,0.10658353567123413,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4880521595478058,0.0,0.0,0.0,0.20480754971504211,0.0,0.0,0.0,0.27833133935928345,0.0,-0.13486772775650024,0.0,0.011038864962756634,0.0,-0.04828127846121788,0.0,0.10702411085367203,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5258468985557556,0.0,0.0,0.0,0.20847637951374054,0.0,0.0,0.0,0.26805830001831055,0.0,-0.1427835077047348,0.0,0.011297834105789661,0.0,-0.05170654132962227,0.0,0.10251794010400772,0.0
