joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07905960083007812,0.0,0.0,0.0,-0.5980730056762695,0.0,0.0,0.0,-0.8020110428333282,0.0,0.44675334356725216,0.0,-0.032988726161420345,0.0,0.23533497005701065,0.0,-0.2973247319459915,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26895999908447266,0.0,0.0,0.0,-0.5754575133323669,0.0,0.0,0.0,-0.8190006017684937,0.0,0.5232156254351139,0.0,-0.03613482695072889,0.0,0.2776931971311569,0.0,-0.31015826389193535,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4622042179107666,0.0,0.0,0.0,-0.49626976251602173,0.0,0.0,0.0,-0.7539365440607071,0.0,0.5515364930033684,0.0,-0.03594039008021355,0.0,0.29397066682577133,0.0,-0.292010884732008,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6280869245529175,0.0,0.0,0.0,-0.3770172595977783,0.0,0.0,0.0,-0.6227023899555206,0.0,0.5209287628531456,0.0,-0.03220038488507271,0.0,0.27790367603302,0.0,-0.2473769709467888,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7385373115539551,0.0,0.0,0.0,-0.2354796975851059,0.0,0.0,0.0,-0.4482582211494446,0.0,0.4316331818699837,0.0,-0.025245477445423603,0.0,0.22972319275140762,0.0,-0.18409732729196548,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7716283202171326,0.0,0.0,0.0,-0.08908882737159729,0.0,0.0,0.0,-0.2559192478656769,0.0,0.29305964708328247,0.0,-0.015948712825775146,0.0,0.15507247298955917,0.0,-0.11156098917126656,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7151782512664795,0.0,0.0,0.0,0.04635825753211975,0.0,0.0,0.0,-0.06905011832714081,0.0,0.1237776130437851,0.0,-0.005599018186330795,0.0,0.0646473839879036,0.0,-0.038952287286520004,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5714789032936096,0.0,0.0,0.0,0.15767067670822144,0.0,0.0,0.0,0.09372532367706299,0.0,-0.04997812211513519,0.0,0.0043267617002129555,0.0,-0.027094408869743347,0.0,0.025995448231697083,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3555715084075928,0.0,0.0,0.0,0.23607872426509857,0.0,0.0,0.0,0.22122710943222046,0.0,-0.20581744611263275,0.0,0.01264922320842743,0.0,-0.10836552828550339,0.0,0.07842350751161575,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08837729692459106,0.0,0.0,0.0,0.28106607496738434,0.0,0.0,0.0,0.3131013363599777,0.0,-0.3409508615732193,0.0,0.01910387072712183,0.0,-0.1782165840268135,0.0,0.11800294741988182,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19925683736801147,0.0,0.0,0.0,0.3007281571626663,0.0,0.0,0.0,0.3786962479352951,0.0,-0.45156385749578476,0.0,0.023861113004386425,0.0,-0.23533795028924942,0.0,0.14777090400457382,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4697561264038086,0.0,0.0,0.0,0.29984936118125916,0.0,0.0,0.0,0.42228586971759796,0.0,-0.5220456980168819,0.0,0.026728748343884945,0.0,-0.27227411046624184,0.0,0.1686476171016693,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6899401545524597,0.0,0.0,0.0,0.27932822704315186,0.0,0.0,0.0,0.44154226779937744,0.0,-0.5466572940349579,0.0,0.02757327165454626,0.0,-0.2864287234842777,0.0,0.17950758337974548,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8377343416213989,0.0,0.0,0.0,0.2432987093925476,0.0,0.0,0.0,0.4363458603620529,0.0,-0.5305514670908451,0.0,0.02661168109625578,0.0,-0.2802274189889431,0.0,0.18018297851085663,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8997797966003418,0.0,0.0,0.0,0.19765086472034454,0.0,0.0,0.0,0.40794946253299713,0.0,-0.4789758939296007,0.0,0.02409734297543764,0.0,-0.2556881867349148,0.0,0.1708410680294037,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8671149611473083,0.0,0.0,0.0,0.14918148517608643,0.0,0.0,0.0,0.3583144396543503,0.0,-0.3975911531597376,0.0,0.020287558436393738,0.0,-0.21490389481186867,0.0,0.15179207548499107,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7415428757667542,0.0,0.0,0.0,0.10315105319023132,0.0,0.0,0.0,0.288940966129303,0.0,-0.2977053867653012,0.0,0.01555627677589655,0.0,-0.16307001933455467,0.0,0.12345779687166214,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5387768149375916,0.0,0.0,0.0,0.0618908554315567,0.0,0.0,0.0,0.20175017416477203,0.0,-0.1923779956996441,0.0,0.01033400185406208,0.0,-0.106757041066885,0.0,0.0867944210767746,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28673261404037476,0.0,0.0,0.0,0.02547241747379303,0.0,0.0,0.0,0.10100863873958588,0.0,-0.09499435545876622,0.0,0.005105859600007534,0.0,-0.05329670384526253,0.0,0.04402920603752136,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01910179853439331,0.0,0.0,0.0,-0.007647648453712463,0.0,0.0,0.0,-0.006848201155662537,0.0,-0.014743092469871044,0.0,0.0002727378159761429,0.0,-0.008197315037250519,0.0,-0.001609697937965393,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23308098316192627,0.0,0.0,0.0,-0.04015788435935974,0.0,0.0,0.0,-0.11499635875225067,0.0,0.04855339648202062,0.0,-0.0040389131754636765,0.0,0.027949176728725433,0.0,-0.04688706248998642,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4456430673599243,0.0,0.0,0.0,-0.07429607212543488,0.0,0.0,0.0,-0.2165667712688446,0.0,0.1057345187291503,0.0,-0.00799461267888546,0.0,0.06048521026968956,0.0,-0.08894633501768112,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6001532077789307,0.0,0.0,0.0,-0.11444948613643646,0.0,0.0,0.0,-0.31037814915180206,0.0,0.16415754798799753,0.0,-0.01175904180854559,0.0,0.09307814761996269,0.0,-0.1270269975066185,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6882369518280029,0.0,0.0,0.0,-0.1601286232471466,0.0,0.0,0.0,-0.39267726242542267,0.0,0.2194635570049286,0.0,-0.015128287486732006,0.0,0.12323958799242973,0.0,-0.1593814231455326,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7084578275680542,0.0,0.0,0.0,-0.20240694284439087,0.0,0.0,0.0,-0.4501521587371826,0.0,0.26453216560184956,0.0,-0.01765470951795578,0.0,0.14710761606693268,0.0,-0.18099118024110794,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6614923477172852,0.0,0.0,0.0,-0.23279115557670593,0.0,0.0,0.0,-0.47188661992549896,0.0,0.29403953813016415,0.0,-0.018969294615089893,0.0,0.16190866008400917,0.0,-0.18792636692523956,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5552664399147034,0.0,0.0,0.0,-0.2448342740535736,0.0,0.0,0.0,-0.45362599194049835,0.0,0.3053629770874977,0.0,-0.018862681463360786,0.0,0.16652382910251617,0.0,-0.17898986116051674,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.403672456741333,0.0,0.0,0.0,-0.2335578203201294,0.0,0.0,0.0,-0.39537176489830017,0.0,0.29620788991451263,0.0,-0.017209979705512524,0.0,0.16008298844099045,0.0,-0.15466045588254929,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22409260272979736,0.0,0.0,0.0,-0.19645504653453827,0.0,0.0,0.0,-0.3007400780916214,0.0,0.2645093947649002,0.0,-0.01399137545377016,0.0,0.1418055035173893,0.0,-0.11671502143144608,0.0
